ID	Penzance	StIves	Newquay	BurhamonSea	Minehead	Lifracombe	WestonsuperMare	Barry	Porthcawl	Conwy	Prestalyn	Southport	Greater_Blackpool	Heysham	Greater_Ayr	Duncoon	Whitley_Bay	Whitby	Scarborough	Bridlington	Skegness	Greater_Yarmouth	Lowestoft	Clacton	SouthendonSea	Herne_Bay	Thanet	Deal	Hythe	Bexhill	Eastbourne	Greater_Brighton	Greater_Worthing	Bogner_Regis	Greater_Bourneworth	Swanage	Weymouth	Sidmouth	Exmouth	Teigmouth	Torbay	Falmouth	Parent1	Parent2
Gen0_Mut0_ID10	0.242663896	0.005102262	0.498801548	0.724016390	0.562033565	0.910492533	0.003182151	0.802404189	0.032569070	0.252113854	0.953566710	0.914286443	0.519199742	0.158139418	0.756819747	0.987102658	0.882762702	0.856926700	0.426279057	0.799121270	0.402122833	0.314012891	0.361851047	0.621096960	0.978596358	0.708764132	0.807932954	0.266567091	0.363187473	0.707252332	0.257503133	0.679723645	0.023123251	0.465471957	0.212321768	0.557961942	0.421399316	0.305798393	0.132036374	0.405620680	0.421524595	0.049628581	none	none
Gen0_Mut0_ID11	0.249380940	0.060433808	0.791664688	0.981396984	0.945089002	0.153993162	0.343552723	0.081476856	0.519999081	0.666365798	0.777583726	0.909882209	0.097401635	0.135198688	0.828481897	0.548184174	0.160279450	0.246256167	0.641263405	0.668363759	0.655398840	0.924595826	0.942943945	0.820590253	0.110265428	0.708605490	0.038160591	0.453216457	0.107944836	0.835153834	0.923416583	0.062482238	0.434476840	0.785397441	0.050008600	0.081331809	0.964586732	0.393325025	0.782298135	0.859914583	0.883625137	0.002909742	none	none
Gen0_Mut0_ID12	0.157143804	0.574778615	0.538980061	0.029223983	0.254241013	0.089597725	0.441896183	0.524920240	0.006787674	0.072910687	0.798636563	0.091609160	0.143871019	0.574957072	0.170588163	0.462937712	0.479269440	0.479036204	0.963887867	0.355681786	0.949499292	0.583271625	0.518651361	0.952260245	0.700949874	0.503169296	0.614493276	0.799395042	0.206850475	0.076152914	0.744664009	0.070213953	0.958289272	0.614298259	0.840230209	0.192755701	0.618230437	0.047777174	0.736077477	0.434752293	0.653453004	0.729061576	none	none
Gen0_Mut0_ID13	0.366560626	0.426726620	0.415917366	0.062855524	0.938688894	0.827730783	0.127125563	0.071722912	0.563262695	0.688340773	0.659311168	0.916979348	0.002133054	0.626406865	0.711570568	0.111116861	0.927649409	0.431484509	0.379999100	0.455959257	0.227699890	0.684336390	0.318280571	0.701143131	0.045478147	0.423638583	0.696983717	0.756776498	0.701713138	0.575253245	0.402758357	0.238625199	0.804323192	0.868219433	0.341475309	0.023592426	0.788933680	0.001652801	0.413455966	0.923920410	0.853423253	0.898033998	none	none
Gen0_Mut0_ID14	0.750640656	0.980904222	0.781331013	0.928493136	0.185660290	0.548776297	0.253848020	0.454096838	0.627421984	0.482107590	0.143839004	0.334521187	0.189325820	0.716471488	0.024955792	0.743193229	0.859330725	0.142601693	0.838518055	0.537942629	0.767331160	0.852774121	0.688482178	0.540548892	0.366063245	0.943029161	0.951321972	0.056348475	0.371517910	0.402026621	0.262131048	0.524557270	0.059815794	0.969864861	0.454858217	0.933127981	0.049724456	0.233984161	0.332438928	0.906376155	0.013475442	0.644313949	none	none
Gen0_Mut0_ID15	0.853265405	0.576112418	0.628163087	0.509213256	0.756801663	0.046485792	0.947837350	0.944244458	0.202479577	0.199364275	0.115215107	0.766129985	0.423255127	0.213749995	0.271697128	0.357317337	0.058003384	0.861341805	0.023295913	0.702769306	0.720129482	0.542180883	0.623432526	0.230793234	0.995425358	0.260749711	0.464389009	0.221414477	0.944642712	0.669996572	0.590093679	0.066504002	0.530978205	0.007046526	0.553267615	0.252784355	0.518644261	0.471898836	0.831562638	0.057002499	0.295925054	0.359199918	none	none
Gen0_Mut0_ID16	0.764594002	0.043220252	0.832499756	0.022849728	0.907295387	0.737452095	0.915815621	0.484931554	0.895469536	0.802784638	0.025444963	0.477404861	0.632627578	0.262001825	0.498868634	0.281923487	0.441257961	0.093387126	0.070230049	0.260523445	0.196374043	0.822509138	0.166087997	0.724317794	0.584688245	0.908800074	0.324858150	0.432571016	0.325624955	0.432329121	0.635237421	0.681168213	0.128860752	0.626211228	0.793006945	0.370157557	0.882807472	0.871380931	0.360961134	0.401959546	0.069429844	0.873000198	none	none
Gen0_Mut0_ID17	0.683015997	0.871558155	0.653765311	0.601935760	0.993996027	0.906759417	0.165582824	0.397315980	0.343630078	0.348587216	0.582263570	0.946414952	0.781363809	0.137466284	0.959119931	0.085163387	0.763876335	0.434239607	0.818842878	0.750497240	0.323321490	0.670712180	0.038268655	0.901118386	0.081990308	0.312804281	0.838906181	0.960572172	0.241599242	0.000894942	0.990386607	0.697711580	0.207634682	0.115726807	0.133847852	0.734031490	0.822661603	0.233281007	0.211368701	0.673020723	0.277230140	0.378321103	none	none
Gen0_Mut0_ID18	0.642990742	0.463843379	0.173889924	0.237828558	0.629855137	0.812460183	0.499134709	0.102647769	0.607516682	0.195781801	0.453521749	0.615752003	0.151370594	0.399152133	0.694391277	0.738018251	0.373850674	0.921631150	0.047878222	0.367748703	0.084426103	0.054907791	0.998930374	0.926564829	0.384978175	0.249864672	0.773948281	0.282407288	0.652003618	0.375805909	0.370325623	0.162015855	0.983067447	0.204897908	0.778770060	0.323427590	0.092155104	0.213162432	0.817136213	0.408445994	0.327050178	0.579399874	none	none
Gen0_Mut0_ID19	0.951590177	0.084710165	0.192387811	0.726803111	0.086630259	0.467817559	0.251760948	0.381369373	0.735770125	0.675194659	0.282036344	0.030890653	0.135377184	0.360020049	0.300240155	0.107352433	0.263164581	0.930293156	0.098570872	0.539211865	0.715559983	0.423968620	0.665336280	0.235610353	0.321326974	0.497762272	0.539912083	0.739082030	0.797378224	0.856318769	0.732368586	0.717687406	0.472445119	0.519721156	0.823762132	0.929415141	0.605246300	0.429860847	0.129690499	0.784858996	0.106023093	0.029975998	none	none
Gen0_Mut0_ID20	0.533787041	0.616705186	0.017135045	0.655316481	0.086350846	0.460292334	0.954217073	0.623809316	0.926191153	0.916118079	0.769052598	0.829791955	0.592417469	0.009521399	0.553732496	0.848336528	0.437598646	0.265915056	0.337097241	0.917029088	0.997924738	0.879486722	0.860939514	0.203052361	0.956158395	0.666317331	0.827917752	0.180506546	0.889056877	0.631537078	0.559443919	0.588701757	0.304422180	0.395178033	0.080909775	0.247820051	0.567663002	0.167672514	0.011967973	0.345258511	0.193729615	0.443484189	none	none
Gen0_Mut0_ID21	0.637508366	0.090149006	0.607237160	0.704807126	0.154239830	0.050041044	0.892915221	0.301076450	0.521250695	0.443468689	0.163568320	0.354348986	0.413266450	0.464244414	0.448202742	0.602581149	0.005797950	0.092661326	0.049315954	0.424939009	0.944572171	0.315848109	0.976641411	0.458920504	0.163703538	0.241763759	0.930332569	0.473559182	0.161278850	0.220631786	0.110716615	0.050497976	0.248255585	0.846403185	0.304599426	0.274135106	0.975049746	0.500876297	0.152204988	0.812708932	0.409916044	0.924390809	none	none
Gen0_Mut0_ID22	0.194199817	0.149552216	0.634728758	0.643308584	0.331766424	0.018231961	0.934680504	0.502925806	0.483390719	0.417127990	0.167621235	0.803688484	0.131615838	0.313458862	0.132288860	0.088987132	0.357566290	0.649904146	0.596259401	0.205468138	0.128428216	0.166692644	0.348690263	0.551231921	0.932785096	0.258779323	0.764020179	0.023807644	0.320724279	0.047340316	0.523873345	0.581997512	0.406606295	0.947355068	0.411016406	0.828847948	0.674615139	0.146833511	0.637068843	0.047418658	0.490684799	0.578284920	none	none
Gen0_Mut0_ID23	0.569123287	0.159314826	0.235948139	0.301820744	0.268232349	0.306774562	0.467970637	0.851281767	0.996447636	0.987678139	0.034242358	0.842505753	0.199000367	0.860138970	0.298499917	0.198731807	0.364828424	0.378869326	0.987938119	0.371337817	0.244441170	0.092323177	0.266837678	0.245268102	0.001668733	0.742353420	0.510206106	0.579534062	0.335703637	0.192292361	0.826046344	0.540435987	0.704568306	0.655654373	0.735218933	0.222067554	0.657119499	0.175197997	0.059465759	0.916828857	0.937926495	0.810874129	none	none
